Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,roads,dump_sites,agricultural_fields,Air Quality
18.4,60.6,3,8.4,16.6,7.3,1.04,10.2,444,30,5,4,Good
23.6,68.7,8.3,13.7,19.7,4.1,0.95,11.2,255,42,2,1,Good
27.1,66.5,14.8,29.8,35.6,15.6,1.99,3.3,577,22,2,7,Poor
38.5,79.8,70.6,88.1,36.1,9.8,1.86,4.6,565,37,0,0,Poor
30.4,60.1,0.9,14.1,27.2,12.1,1.26,5.6,641,28,3,1,Moderate
27.3,45.8,3.8,7.8,19.3,7.1,0.99,11.7,312,29,2,2,Good
43.3,62.8,8,21.7,31.1,10.2,2.51,4.7,429,30,5,0,Poor
28.9,49.4,12.9,18.5,18.5,4.7,0.89,10.1,461,32,6,10,Good
38.1,63,41.2,57.7,30.5,24.3,2.38,3.9,537,28,3,6,Poor
36.5,81.6,6.1,19.4,29,20.5,1.92,4.2,690,32,3,8,Poor
26,64.5,10.4,15.5,25.2,3.1,0.98,5.3,359,45,3,8,Moderate
38.2,82.1,8.4,26.5,24.6,7.4,2.6,5.2,696,39,2,5,Poor
24.4,75.5,16.1,20.4,25.3,5.1,0.86,11.3,357,38,3,9,Good
29.2,45.9,1.9,10.9,29.4,5.5,1.1,6.1,647,25,2,4,Moderate
27.4,67.4,10.8,32.6,51.6,25.2,2.88,2.6,846,21,0,5,Hazardous
25,72.6,1.5,6.9,19,5.7,0.94,14.8,407,39,2,3,Good
22,51.9,5.5,9.8,15,7.3,0.88,12,601,38,2,11,Good
46.8,91,0.2,17,55.2,19.5,2.36,2.5,587,44,2,5,Hazardous
27.1,63,15.9,18.5,15.7,6.9,0.96,10.3,383,23,2,8,Good
30.8,55.6,15,22.3,22,15.9,1.64,6.1,451,27,1,3,Moderate
27.8,67.1,0.4,4.6,22.4,4.3,1.05,11.2,371,13,2,9,Good
30.7,64.6,7.9,23.1,30.7,19,1.39,16.6,399,26,5,9,Moderate
24,68.7,18.6,31.1,30.6,7.3,1.44,6,588,39,1,0,Moderate
25.3,75.6,2.8,5.9,23.8,6.4,1.12,10.1,299,25,0,6,Good
40.6,93.3,21.5,48.7,19,14.2,1.85,6.3,464,36,2,6,Poor
34.4,65.1,48.4,58.5,29.6,7.8,1.27,7.1,435,28,0,4,Moderate
34,58.3,36.6,52.4,28.4,5.3,1.49,6.9,499,33,3,11,Moderate
28.5,49.4,1,5.9,16.6,5.6,0.93,10.6,328,18,2,1,Good
30.6,51.1,8.3,10.1,23.1,5.7,1.11,15,221,30,3,4,Good
30,89,9.2,30.2,29.7,17.5,1.83,8.2,428,0,4,2,Poor
27.8,47.6,31.6,35.3,21.8,6.4,1.13,14,591,28,1,10,Good
21,44,2.6,8.8,25.2,5.7,0.95,17.2,488,13,1,1,Good
25.6,57.7,10,15.8,22.1,2.5,0.98,15.4,470,42,1,0,Good
23.8,67.9,15.3,19.2,25,5.1,0.97,10,366,37,2,7,Good
25.2,71.3,30.4,36,14.7,4.8,0.94,11.2,432,34,1,5,Good
35.2,71.8,12.2,25.7,28,7.1,1.27,7.8,327,45,3,10,Moderate
33.8,89.3,14.1,25.3,23,11.3,1.33,9.1,671,20,4,9,Moderate
25.5,47.4,9.5,8.9,25.2,5.9,1.24,10.6,404,47,2,5,Good
31.7,75.7,29.7,43.1,19.5,2.2,1.25,6.4,685,39,3,0,Moderate
38.7,116.9,33.1,53.6,46,26.2,2.46,8.2,834,27,1,1,Hazardous
31.2,93.7,6.3,10.9,19,14.2,1.51,7.1,344,41,1,0,Moderate
27.3,74.8,10.3,10.9,14.2,6.3,1.04,18.7,577,18,4,5,Good
26.1,46.8,7.8,14.1,24.9,4.6,1.03,13.5,603,21,3,3,Good
47.8,70.2,35.4,55.1,35.3,22.9,2.07,3.3,607,23,1,5,Hazardous
50.6,96.3,42,61.6,33.6,33.9,1.97,3,477,24,3,6,Hazardous
31.9,77.1,7.3,16.9,25.4,11.3,1.56,6.3,471,19,2,13,Moderate
25,45.7,0.1,3.6,14.3,7.9,1.03,10.7,316,42,2,8,Good
39.3,74.8,28.1,49.3,33,21.3,1.84,3.8,730,27,4,6,Poor
27.6,51.2,7,14.8,19.6,6.1,0.98,18.2,315,33,2,0,Good
22.5,43.6,11.8,16.3,13.2,5.4,0.99,10.5,307,24,2,6,Good
22.8,65.3,6.6,13.3,14.7,6.7,1.03,11.3,318,11,4,9,Good
38.8,60.7,0.3,16,35.3,24.9,2,7.2,596,32,4,7,Poor
21.2,55.6,3.4,5.4,25.2,2.8,0.88,11.3,404,10,2,1,Good
27.2,82.5,18.7,37.1,32.5,14.5,1.96,4.5,544,29,1,4,Poor
24.5,59.1,35.9,46.4,36.8,22.7,1.83,3.5,562,16,1,6,Poor
30.2,48.6,6.9,15.8,19.7,9.4,1.57,5.2,598,49,2,4,Moderate
55,63,29.4,49.3,35.5,25.7,2.49,2.7,785,39,2,3,Hazardous
24.9,76.2,49,54.7,13.8,10.5,1.3,7.4,664,31,2,0,Moderate
28.7,58.3,32.9,45.6,26.7,13.6,1.6,7.3,352,42,2,2,Moderate
26.3,80.1,3.2,9.7,20.2,6,1.03,12.5,269,21,2,7,Good
20.6,63.5,14.1,23.5,30,8.3,1.54,6.1,646,35,2,9,Moderate
33.1,66.1,21.1,41.6,27.9,17.7,2.23,3.4,733,31,2,6,Poor
42.4,97.9,28,53.6,36.9,29.4,1.72,4.9,665,32,2,10,Poor
34,83.1,10.5,25.8,22.6,5.7,1.28,5.4,522,42,6,5,Moderate
34.7,61,9.4,29.9,22,18.7,1.7,5.8,466,37,2,2,Poor
28.7,53.9,18.3,20.4,25.7,7.5,0.98,11.2,406,32,1,4,Good
28.1,85.3,1.6,18.3,32,7.5,1.37,7.9,521,13,3,7,Moderate
27.9,76.5,4,10.1,11.6,4.2,1.12,11.2,267,20,1,4,Good
18.5,61.3,5.6,8.9,21.5,7.2,0.86,10.8,226,28,5,3,Good
19.2,51.9,6.3,10.6,20.9,7.7,1.1,10.1,500,30,2,0,Good
23,65.6,3.9,8.2,23.8,5.8,1.08,10.5,285,18,1,2,Good
40.1,93.5,51.1,54.6,27.7,13.8,2.16,8.4,400,54,2,4,Poor
20.2,54.9,10.9,16.6,12.1,7.8,1.14,10.2,534,45,1,3,Good
24.7,43.2,5.3,11.2,13.7,1.4,1.01,10.1,552,36,0,2,Good
26.6,58.5,30.6,34.3,25.2,3.7,1.04,12.1,341,30,5,12,Good
36.8,87.2,41.4,57,35.9,20.6,1.7,3.6,749,27,3,8,Poor
32.3,74.5,7.4,9.9,24.2,17.8,1.67,5.1,611,20,1,14,Moderate
27.6,51.7,16.9,24.5,19.4,6.1,0.81,10.1,306,30,4,0,Good
30.2,70.3,4.3,17.1,17.9,14.7,1.41,5.5,401,32,0,7,Moderate
40,63.2,14.9,24,27.4,7,1.51,6.4,569,17,2,4,Moderate
24.1,70.4,8.1,15.7,21.7,3.4,1.04,10.2,223,33,0,6,Good
39,92.4,1.7,3.6,31.7,4.8,1.19,7,428,28,4,13,Moderate
19.3,41.7,15.2,21.3,21.5,7.6,0.85,13.2,255,10,4,0,Good
26.6,44.6,16.5,21.6,17.1,6.6,0.98,13.7,555,21,2,3,Good
33.7,80.9,9.6,26.4,30.5,22,2.76,4.3,446,25,2,3,Poor
18.6,49.8,14,18.6,23.3,4.4,0.77,10,262,48,3,3,Good
34.6,67.9,29.7,53.8,28.9,18.9,2.55,2.7,746,35,1,0,Hazardous
21.8,60.7,0,4.6,22.3,3.9,1.04,12.2,333,16,4,11,Good
21.3,63.9,6.1,8,25.7,15.7,1.35,8,610,34,0,11,Moderate
28.7,45.3,42.8,47.4,11.7,2.9,1.04,19.3,577,14,2,8,Good
28.9,52.7,0.3,6.5,15.7,5.7,1.14,11.9,568,40,0,0,Good
57.8,108.4,3.1,11.2,51.5,19.4,2.08,3,537,25,0,7,Hazardous
22.9,78.5,6.7,9.7,15.9,2.2,0.99,10,249,29,6,9,Good
27.4,54.4,6.2,10,24.7,4.2,0.92,12,339,43,2,7,Good
22.6,66.2,3.1,8,16.8,7.1,0.84,10.4,321,17,1,5,Good
27,58.1,8.5,12.2,25.8,5.5,0.99,17.8,324,16,2,11,Good
28.1,78.1,30.4,38.6,33.9,7.9,1.35,8.7,465,24,4,3,Moderate
34.3,99.6,14.3,24.7,32.2,13.6,1.89,6.8,487,40,1,5,Poor
38.6,92.3,37.8,55.3,40.9,16.3,2.65,2.6,564,14,5,8,Hazardous
30.3,92.7,2.2,15.3,21,6.8,1.8,6.6,511,1,1,7,Moderate
23.6,72.3,0.8,13.8,26.4,11,1.68,6.2,543,25,0,8,Moderate
26.1,48,17.3,22.3,18.6,2,1.02,11.2,313,35,1,8,Good
31.9,73.3,11.1,21.8,15.1,7.2,1.54,7.4,543,42,1,8,Moderate
32.2,62.2,23.6,32,32.8,10.1,1.54,9,685,25,0,4,Moderate
23.7,61.5,19.4,25,11.8,0.9,1.18,12,333,25,4,3,Good
30.2,53.6,47.4,60,23.3,13.5,1.61,5.2,529,41,1,6,Moderate
30.2,71.7,18.3,29.4,16.1,8.9,1.48,5.5,479,11,2,12,Moderate
29.8,72.4,13.4,19.9,13,3.9,1.06,10.5,568,26,4,5,Good
28.1,50.3,3.8,14.1,21,12.7,1.52,6.3,496,31,2,8,Moderate
38.1,65.7,16.6,34.5,23.9,5.8,1.97,5.5,607,34,4,6,Poor
21.3,62.8,9.4,17.8,24.6,4.8,0.89,13.2,214,24,2,14,Good
39.1,101.5,57.8,71.2,28,22,2.11,4.4,521,30,4,5,Poor
32.3,98.4,27.5,39.8,35.2,13.5,2.07,4.3,773,5,4,8,Poor
19.7,73.1,30.4,34.6,13.6,4.2,0.87,10,545,23,3,3,Good
25.8,54.6,6.5,7.6,13.6,5.8,1.04,12.1,401,34,3,1,Good
31.8,97.6,39.5,51.6,25.5,9.9,1.81,6,652,20,1,5,Poor
21.7,42,1.2,5.8,27.7,3.2,0.87,12.4,248,30,1,10,Good
25.2,74.1,32,38.9,21.1,6.9,1.02,10.7,540,34,3,8,Good
36.7,78.7,31.3,69.8,30.7,21.1,1.95,4.1,749,26,2,0,Poor
35.1,92.9,16.9,37.8,40.1,16.8,1.86,6.5,777,31,3,8,Poor
40,94.4,30.9,48.1,41.2,11.4,2.6,5.8,860,20,1,0,Hazardous
38.5,92.3,1.9,12.7,33.6,13.8,2.99,4.9,848,27,2,9,Hazardous
28,67.3,116.2,126.2,26.6,4.8,1.32,5.7,307,36,2,8,Moderate
35.1,92.3,81.2,114.2,35.1,14.7,2.5,2.7,589,31,2,5,Hazardous
28.8,74.3,29.9,40.6,26.6,6.9,1.43,5.4,649,24,1,8,Moderate
22.9,78,15.2,18.3,16.9,2.3,1.17,14.1,263,32,2,4,Good
29.4,76.2,12.9,28,27,13.9,1.58,7.8,696,37,2,6,Moderate
29.6,68.4,22.3,31.8,26.2,6.2,1.55,5.9,582,9,1,0,Moderate
33.8,64.8,12.6,21.7,21.3,8.3,1.5,5.2,593,41,2,4,Moderate
37.7,63.6,24.2,32.1,24.3,13.2,1.59,5.6,600,26,4,9,Moderate
24.1,55.2,7.8,11.6,17.7,6.1,0.95,10.9,461,34,3,0,Good
26.4,72.7,2.4,6.2,20.3,9,0.94,10.1,431,41,0,9,Good
26.4,46.2,18.3,27,23,2.2,1.07,16.8,254,16,4,0,Good
43.7,76.2,56.6,64.2,23.2,12.3,1.4,5.6,390,22,2,1,Moderate
25.1,48.7,8.6,17.9,17.5,4.2,0.98,19.7,403,27,2,4,Good
44.3,81.8,58.8,67.8,39.8,11.3,2.51,9,795,22,2,6,Poor
38.1,79.6,32,40.8,27.7,11.6,1.45,6.3,411,47,3,3,Moderate
31.7,52.4,11.2,22,32.4,13.3,1.52,7.3,460,21,0,3,Moderate
21.7,67.5,35.7,42.5,16,4.5,1.16,10.1,231,24,1,10,Good
43.3,62.4,23.3,47.6,39.7,10.8,2.98,2.8,586,32,1,10,Hazardous
25.6,64.6,56.7,67.9,28,6.9,1.6,9.4,334,17,1,4,Moderate
23.6,54.1,15.8,19.2,21.2,6.4,0.86,13.1,377,26,2,4,Good
25.5,51,10.2,14.7,14.7,6.1,1.07,11,214,33,1,4,Good
25.2,58.1,7.9,13.3,23.3,5.6,0.93,10.4,526,26,1,14,Good
25.9,57,3.6,18.9,22.5,9.8,1.52,6.9,352,29,1,6,Moderate
50.7,68,39.7,60.8,35.2,29.7,2.77,4.7,862,24,3,12,Hazardous
32.2,42.8,24.8,37.3,26.9,16.8,1.16,5.8,453,14,0,8,Moderate
31.5,73.7,5.3,20.6,32.5,8.7,2.22,10.7,569,33,1,5,Poor
39.9,78.7,71.9,85.2,39.7,16.3,2.54,3.3,957,47,1,3,Hazardous
34.5,78.6,20.7,37.6,26.7,14.1,2.35,4.6,702,30,3,9,Poor
30.1,78.3,38.7,45.7,35.3,9.2,1.46,5.8,562,32,4,2,Moderate
32.3,78.2,25.8,39.1,31.5,7,1.5,5.2,380,36,1,4,Moderate
31.5,49.1,36.6,40.4,26.6,7.9,1.58,6.6,318,17,2,8,Moderate
44.4,104.7,6.6,32.3,45.7,15.6,2.72,4.1,888,47,4,5,Hazardous
40.3,110.3,21.7,36.2,43.1,23.4,2.3,5.8,746,32,2,4,Hazardous
38.4,100.3,44.3,63.7,26.9,14.9,1.88,3.4,605,46,0,4,Poor
40.4,71.5,30.1,46.8,43.9,18.1,2.13,5.3,790,22,0,3,Hazardous
28.1,91.6,6.4,13.5,37.9,10,1.26,7.2,331,48,2,7,Moderate
29.9,86,31.7,41.8,29.7,3.2,1.38,6.4,498,37,4,6,Moderate
31.9,69,85.7,103.6,25.8,12.5,1.65,5.2,621,35,0,0,Moderate
32.3,76.8,19.1,38.4,23.9,12.6,1.69,6.2,674,32,0,4,Moderate
31.5,80.1,26.2,28,14.9,7.3,1.21,7.6,317,27,0,4,Moderate
34.7,54.2,64,74.2,18.1,13.7,1.57,9.6,592,42,2,4,Moderate
18.1,62.9,23.2,26.6,12.7,5.1,0.92,12.2,476,31,1,8,Good
31.1,83.6,15.4,25.6,34.7,6.7,1.43,6.4,376,10,3,3,Moderate
26,44.9,17.3,23.7,17.1,4.1,0.84,11.7,435,18,1,16,Good
24.1,83.6,49.8,60.3,28.4,9.6,1.54,6.4,543,28,3,11,Moderate
42.9,53.3,0.6,14.2,19.7,9.4,1.7,7.2,604,33,2,11,Moderate
35.5,79.7,98.5,115.3,18.1,15.9,1.67,5.8,563,29,1,1,Moderate
40.9,94.6,19.1,45,50.8,27.7,2.39,2.8,697,42,2,0,Hazardous
18.3,70.2,15.9,23.1,18,7.4,1.16,10.2,399,10,2,4,Good
27.7,71.7,34.5,43.9,21.7,8,1.6,8.2,385,31,1,7,Moderate
37,60.4,1.3,17.8,32.1,19.7,2.22,4.8,407,11,3,5,Poor
26.4,74.6,73.9,86.5,24.4,7,1.65,5.1,603,37,1,3,Moderate
24.2,67.6,19.4,35.1,24.2,9.6,1.91,6.2,422,29,1,0,Poor
29.4,91,25.4,47.2,37.6,19.6,1.66,3.7,675,34,1,3,Poor
46.3,76.9,117.4,124.5,42.4,40.5,2.4,3.5,789,21,0,5,Hazardous
25.7,78.6,6.2,10.6,22.3,3.8,0.97,10.1,322,42,2,4,Good
24.6,84.2,8.3,22.1,36.4,11.7,1.36,7.9,329,40,2,3,Moderate
31.6,60.9,18,35.8,17.9,11,1.34,7.9,458,35,1,2,Moderate
37.8,73.1,0.2,26.8,37.5,25.7,1.28,2.8,631,28,2,12,Hazardous
45.3,85.9,23.3,50.1,33.3,19.9,2.45,7.9,715,35,0,8,Hazardous
25,64.5,6.9,15.4,17.8,8.3,0.87,11.3,329,22,3,9,Good
43,65.1,21.8,47.5,25.1,23.8,1.7,4.6,569,38,2,7,Poor
26.2,44.5,12.4,17.9,13.3,0.5,0.76,14.8,296,46,1,0,Good
20.2,58,2.8,5.5,17.2,1.8,1.01,13.3,312,40,3,8,Good
26.8,82.3,25.1,35.7,15.4,9.4,1.72,11.7,332,22,1,11,Moderate
28.6,42.3,12,22.5,27.8,13.3,1.35,5.2,648,33,2,11,Moderate
18.9,41.8,4.4,10.2,25.7,1.9,0.96,10.1,564,17,2,8,Good
30,39,8.7,13.1,15.1,6.2,0.95,11.8,492,35,0,6,Good
35.6,75,29,41.8,32.2,11.9,1.95,5.8,748,34,6,5,Poor
39,60.5,31.6,37,44,20.1,2.3,5.1,406,11,2,8,Poor
44.9,84.2,2.9,16.2,33.4,17,1.93,4.4,701,18,0,0,Hazardous
27.8,78.7,16.8,21.9,13.5,4.6,1.08,12.3,293,27,3,8,Good
31.6,61.2,2.4,8.6,15.3,5.1,0.97,10.2,501,26,1,4,Good
24.4,53.1,3.6,10.5,15,7,1.04,10.2,353,17,1,14,Good
27.5,45.4,31.3,34.7,14,7.1,1.04,11.3,573,33,2,4,Good
30.3,94.9,15.4,28.7,32.9,10.2,1.48,7,620,32,2,6,Moderate
38.1,82.6,5.1,13.8,25,9.9,1.5,6.7,582,28,1,6,Moderate
20,72.8,3.6,8.3,26.2,6.5,0.95,11.1,516,22,3,3,Good
26.6,77.5,6.3,11.5,11.8,7,1.15,10.1,245,40,0,7,Good
24.7,59.9,2.4,8,23.1,6.9,1.06,11.4,356,46,4,7,Good
32.9,49.7,42.5,40.5,21.1,13.9,1.7,5.7,374,25,0,10,Moderate
30.7,50.1,23.6,44.2,28.9,12.7,1.56,6.4,659,23,4,8,Moderate
24.2,71.6,5.9,11.1,19.5,2.7,1.13,10.5,547,34,0,6,Good
27.2,71.6,10.7,24.4,31.4,15.4,2.09,4,434,26,0,2,Poor
24.1,39.7,9.6,14.8,23.9,4.6,0.92,13.4,350,28,1,2,Good
25.8,78.8,11.4,19.7,23.1,7.5,0.92,10.6,547,37,2,12,Good
25.1,49.8,0.1,6,22.4,3.3,0.73,11.8,510,10,2,6,Good
26.4,56.9,4.9,8.9,10.7,6.3,0.99,10.2,276,43,3,14,Good
38.4,99.1,31,52.7,32.7,18.1,2.13,4.7,646,30,3,2,Poor
27.2,79.2,56,59.4,20.1,5,1.94,5.7,541,25,3,14,Moderate
26.9,86.9,14,25.2,24.3,14.6,1.39,7.8,328,29,0,2,Moderate
27,86.2,40.4,50.4,30.1,21.9,1.99,9.8,581,29,1,4,Poor
34.6,52.4,72.4,82.4,17.6,9.4,1.43,9.2,343,12,1,7,Moderate
35.1,67.6,14.2,25.5,25,5.6,1.52,5.1,345,44,1,9,Moderate
35.1,100.9,48.5,69.4,44.6,3,2.82,3.1,830,30,1,8,Hazardous
32.5,69.6,38.3,48.2,33.7,10.6,1.24,6.1,358,34,1,0,Moderate
28.7,67.8,58.9,68.3,21.3,7.4,1.15,10.5,614,39,3,3,Good
28.8,58,6.3,36.4,42.2,1.9,2.43,3.5,505,19,2,1,Poor
25.7,69.6,3.8,7.4,25.1,4.6,0.97,10.2,310,34,5,0,Good
24.9,54.3,21.7,38,18.9,9.1,1.45,9.6,437,27,1,5,Moderate
24.3,40.8,10.6,16.6,13.2,7.3,0.85,14.3,398,38,2,0,Good
23.4,54.9,13.7,18.9,22.6,5.3,1.12,13.5,269,8,1,9,Good
32,63.8,53.7,62.1,27.2,6.8,1.49,17.1,345,29,0,8,Moderate
19.2,69.6,5.6,15.1,15.2,4.8,1.08,10.6,509,23,2,12,Good
27.2,68.6,1.5,11.8,29.7,21.9,1.91,7.9,410,34,1,1,Poor
25.1,53.9,3,10.4,15.6,5.9,0.89,11,201,34,1,2,Good
27.1,87.7,23.2,36.1,24.4,10.5,1.55,6,376,22,2,10,Moderate
33.7,83.3,10.2,32.2,33.6,27.7,2.53,11.9,541,22,2,10,Poor
34.8,71.8,43.9,67.2,42.7,25.6,2.39,14.3,501,28,2,11,Poor
24.4,65.5,2.5,9.2,19.2,6.1,1.12,11.5,393,21,4,10,Good
18.7,66.1,45.5,51.5,22.7,6.3,1.03,17.2,384,38,1,6,Good
30.4,102.2,24.6,30.2,35,19.3,1.93,5.5,758,26,1,4,Poor
28.5,53.4,19.2,25.1,13.5,2.8,1,14.6,262,0,3,8,Good
24.6,78.6,8,12.4,23.1,4.4,0.98,10.1,501,26,3,4,Good
25.2,75,20.4,25.4,13.9,4.9,0.91,10.2,390,19,2,6,Good
36.1,87.2,76.7,98.2,35.3,27.6,2.5,3.5,771,13,2,4,Hazardous
34.6,71.4,20.4,32.4,22.9,7,1.64,7.6,514,17,1,7,Moderate
26.5,82.2,23.9,34,19.7,5.7,1.31,5.2,438,31,4,10,Moderate
22.7,80.1,0.2,14,20.6,11.9,1.51,5,376,43,2,4,Moderate
22.2,60.1,19.6,22.5,17.6,7.5,0.97,12.1,558,33,5,3,Good
34.2,93.5,65,77.5,26.1,13.1,1.3,5.6,438,23,3,5,Moderate
21.7,61.4,0.6,4.7,13,4.5,1.12,12.2,489,34,3,1,Good
32.7,68.5,0.8,13.2,18.2,4.6,1.38,12.3,478,25,1,8,Moderate
26.7,65.2,2.7,7,17.6,6.8,1.02,11.1,510,23,4,6,Good
39.3,96.3,25.2,62.4,34.3,29,2.23,4.1,623,18,0,5,Hazardous
32.3,75.4,81.6,111.5,35.8,17.3,1.84,4.5,454,12,1,7,Poor
26,52.7,3,11.4,16.9,3.8,0.92,10.5,457,26,2,0,Good
23.3,66.1,0.8,5.2,18.4,5.7,0.89,10.3,492,31,0,11,Good
23.6,67.4,17.9,28.8,25.6,7.3,1.71,6.2,670,29,2,3,Moderate
26.4,64,25.7,31.6,32.1,12.5,1.64,10,589,25,1,4,Moderate
39.4,80.3,37.6,53.3,39,13.6,1.99,4.4,448,20,2,9,Poor
30.6,57.1,6.5,16.8,21,8.8,1.74,5.3,543,36,6,8,Moderate
33.8,84.6,8,23.7,27.8,12,2.94,3.6,839,16,3,13,Hazardous
30.8,83.8,0.1,1.3,32.5,5.1,1.53,5.7,601,37,3,2,Moderate
27.3,47.6,17,23.5,12.9,2.5,0.93,10.7,571,19,2,2,Good
25,82.2,34.6,40.2,10.8,10.3,1.01,14.2,608,22,3,1,Good
41,98.3,96.1,122.2,47.2,27.7,2.97,4.1,686,15,2,6,Hazardous
28.8,58,3.7,3.6,24.5,3.1,1.11,10.9,519,24,1,4,Good
23.1,53.9,9.2,12.1,15.8,0.5,0.99,10.6,365,39,4,3,Good
27.4,67.3,41.8,52.9,22.4,12.4,1.65,9.6,446,35,4,5,Moderate
39.2,77,121.6,121.2,30.1,22.4,2.8,8.1,734,39,5,1,Hazardous
56,53.6,6,21.7,40.5,9.1,2.46,9,718,35,0,12,Poor
43.2,64.6,31.2,48.6,36.7,14.7,2.3,3.4,540,18,1,3,Poor
42.4,102.6,18.2,38.5,46.7,6.6,2.67,9.5,720,26,0,3,Hazardous
42.6,99.7,18.3,34.1,35.9,34.6,2.61,3.4,832,22,1,0,Hazardous
26.1,67.9,19.4,21.4,16,-1.4,1.11,13.4,528,43,1,0,Good
26.8,88.6,16,28.5,44.6,19.1,2.13,6.7,484,18,1,3,Poor
25.4,83.8,21,27.7,22.3,11.3,1.3,16,388,38,0,4,Moderate
23.3,48,10.8,16.7,22.9,3.2,0.97,11,272,38,3,8,Good
40.1,58.4,5,13.4,27.5,10.3,1.91,4.7,616,48,2,0,Poor
47,66.5,44.2,78.1,46.5,20.9,1.91,5.4,673,25,0,7,Hazardous
36,59.4,18.1,20.1,29.2,10,1.29,13.4,527,37,1,8,Moderate
42.5,109.7,19.8,45.8,24.2,18.3,2.81,4.9,873,52,2,8,Hazardous
28.7,60.5,14.2,16.3,23.6,3.1,1.09,13.3,454,23,7,10,Good
40.9,106.7,156.8,172.3,30.5,24.7,1.7,5,862,14,5,1,Hazardous
23.5,41.3,5.4,8.4,24.9,7.9,1.12,10.7,360,11,3,8,Good
25.7,46.4,1.3,5.7,24.6,8.5,0.92,11.1,494,37,0,13,Good
35.5,82.5,2.5,13.1,21.4,11.7,1.33,6.2,692,11,1,11,Moderate
19.5,51.5,2.1,9.5,17,2.8,0.95,11.9,471,26,2,13,Good
32.3,69,1.1,13.5,23.9,9.9,1.39,5.8,461,34,1,6,Moderate
25.5,68.4,54.1,64.4,30.8,0.7,1.81,5.7,671,31,1,3,Poor
37.5,58.7,5.6,22.7,22,9.2,1.56,9.6,467,34,1,0,Moderate
28,45.1,12.5,13.4,26.1,6.5,0.94,10.3,409,32,5,1,Good
27.8,53.7,7.8,16.9,29.7,7.9,1.31,5.6,613,42,2,3,Moderate
26.3,49.5,1.6,5.6,22,1.2,1.05,11.2,207,20,1,4,Good
39,77.2,37.9,52.4,47.7,18.9,1.7,5.2,617,23,3,2,Poor
37.1,58,15.9,19.3,27,16.2,1.18,7.2,403,22,5,7,Moderate
39.3,79.9,2.4,23.6,54.1,30.2,2.54,5.2,733,38,1,6,Hazardous
22.3,68,28.8,43.1,29.5,13.8,1.97,9,612,39,3,6,Moderate
28,52.5,7.1,15.8,24.7,2.4,1,13.2,554,34,1,9,Good
25.5,59.8,7.7,13.1,16.4,2.6,1.05,13,244,41,3,4,Good
24.9,93.1,12.5,18.1,25,2.9,2.26,8.6,473,18,5,10,Poor
40.4,79.3,29.1,43.9,31.1,18,1.85,6.6,615,46,2,1,Poor
31.2,65.8,7.1,16.2,22.4,5.3,1.4,6,495,45,1,4,Moderate
30.9,92.5,24.3,29.7,34.9,18,1.64,9.1,678,37,0,7,Poor
21.4,49.5,7.6,15.3,22.7,7.8,0.92,12.5,576,47,1,0,Good
34.4,86.5,52.9,63.7,25.5,8,1.78,7.6,375,13,3,3,Moderate
30.1,59.5,3.9,8.3,19.6,-0.4,1,15.3,488,24,4,8,Good
40.7,67.9,12.1,30.6,35.9,18.9,2.24,5.5,504,22,1,4,Poor
19.8,61.8,20.4,28.4,25.2,5.4,1.07,11.8,504,37,5,0,Good
23.6,53.4,13.5,20.5,15.8,2.5,0.98,11.3,235,19,2,2,Good
32.9,62.6,17.1,30.6,21.9,14.6,1.4,5.2,533,37,3,0,Moderate
25.7,77.2,87.5,98.2,27.9,12,2.49,5,541,43,1,7,Poor
42.1,74.2,0.7,16.8,32.9,31.7,2.73,3.3,526,36,3,6,Hazardous
23,38.2,22.6,27.7,15.7,6.9,1.11,10.2,340,32,1,0,Good
27.2,46,4.5,8.3,24.2,6.1,1.06,12.5,545,20,5,0,Good
39,107.1,23.9,45,46.1,25.8,2.65,3.4,756,21,4,3,Hazardous
31.3,68.3,26.6,31.6,40.1,19.8,1.51,10.4,568,42,2,6,Poor
22.3,59.6,17.9,23.5,27.9,5.8,1.01,10,359,37,3,3,Good
57.7,77.3,22.8,42.8,33.2,20.4,3.03,3.9,810,29,1,7,Hazardous
25.2,66.5,20.7,25,24.3,4,0.88,14.2,297,25,2,7,Good
22.6,76.7,1.2,6.5,20.9,6.7,1.22,10.7,565,9,1,8,Good
40.2,84.8,61.2,77,35.2,3.9,1.82,2.8,905,19,5,0,Hazardous
35.1,61.5,26,46.4,32,15,1.55,10.5,731,49,1,4,Poor
26.8,54.3,25.1,33.7,27.1,6.3,1.61,9.7,632,17,2,10,Moderate
34.2,99.4,8.9,32,32.3,7.9,1.71,3.3,601,31,0,3,Poor
32.5,74.3,5,18.7,32.3,15.5,1.83,4.8,769,40,1,2,Poor
35.7,102.1,39.7,49.8,19.5,13,2.04,7.2,472,17,0,4,Poor
25.8,47.3,9.4,16.9,34.1,6.4,1.92,5.3,367,31,3,3,Moderate
26.7,72.9,28.7,30.2,32.9,6.4,1.65,8.1,688,39,0,6,Moderate
50.4,93.5,17.1,33.7,42.7,17.6,2.56,3.1,610,30,4,3,Hazardous
43.4,88.4,35.6,48,39.4,14.4,1.78,4.6,639,58,1,0,Poor
26.8,63.4,13.8,21.4,18.8,2.8,1,10.3,303,13,2,10,Good
